name,type,role,hourly_rate,capacity,skills,availability_start,availability_end,department,utilization,id,created_date,updated_date,created_by_id,created_by,is_sample
"Sarah Johnson","FTE","Clinical Research Associate","85","40","[""GCP"",""Monitoring"",""Site Management"",""Regulatory Compliance""]","2024-01-01","2024-12-31","Clinical Operations","85","6894002cb3620af6f69fe20b","2025-08-07T01:23:56.443000","2025-08-07T01:23:56.443000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Michael Chen","FTE","Data Manager","95","40","[""SQL"",""Clinical Data"",""EDC Systems"",""Data Review""]","2024-01-01","2024-12-31","Data Management","92","6894002cb3620af6f69fe20c","2025-08-07T01:23:56.443000","2025-08-07T01:23:56.443000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Dr. Emily Rodriguez","FSP","Biostatistician","125","35","[""SAS"",""R"",""Statistical Analysis"",""Clinical Trial Design""]","2024-03-01","2024-09-30","Biostatistics","78","6894002cb3620af6f69fe20d","2025-08-07T01:23:56.443000","2025-08-07T01:23:56.443000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"James Wilson","Contractor","Regulatory Affairs Specialist","110","32","[""FDA Submissions"",""Regulatory Strategy"",""IND"",""Protocol Development""]","2024-02-15","2024-08-15","Regulatory","88","6894002cb3620af6f69fe20e","2025-08-07T01:23:56.443000","2025-08-07T01:23:56.443000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Lisa Park","FTE","Clinical Trial Manager","105","40","[""Project Management"",""Budget Management"",""Timeline Planning"",""Team Leadership""]","2024-01-01","2024-12-31","Clinical Operations","95","6894002cb3620af6f69fe20f","2025-08-07T01:23:56.443000","2025-08-07T01:23:56.443000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Robert Kim","FSP","Quality Assurance Lead","90","35","[""GCP Auditing"",""Quality Systems"",""Risk Management"",""CAPA""]","2024-04-01","2024-10-31","Quality Assurance","72","6894002cb3620af6f69fe210","2025-08-07T01:23:56.443000","2025-08-07T01:23:56.443000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Eleanor Vance","FTE","Clinical Program Director","","40","[""Oncology"",""Phase III"",""Team Leadership""]","","","Clinical Operations","85","68955c04682413d5bb6a7eec","2025-08-08T02:08:04.639000","2025-08-08T02:08:04.639000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Kenji Tanaka","FTE","Study Clinician","","40","[""Vaccines"",""Immunology"",""Protocol Design""]","","","Clinical Operations","95","68955c04682413d5bb6a7eed","2025-08-08T02:08:04.639000","2025-08-08T02:08:04.639000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Sofia Rossi","FSP","Clinical Research Associate (CRA)","","40","[""Site Monitoring"",""I&I"",""eTMF""]","","","Clinical Operations","70","68955c04682413d5bb6a7eee","2025-08-08T02:08:04.639000","2025-08-08T02:08:04.639000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Liam Murphy","FTE","Site Activation Lead","","40","[""Study Start-Up"",""Contract Negotiation"",""Regulatory Docs""]","","","Global Site & Study Operations (GSSO)","90","68955c04682413d5bb6a7eef","2025-08-08T02:08:04.639000","2025-08-08T02:08:04.639000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Aisha Khan","FTE","Clinical Data Manager","","40","[""Medidata Rave"",""CDISC"",""SDTM""]","","","Clinical Data Science & Information Management (CDS/IM)","80","68955c04682413d5bb6a7ef0","2025-08-08T02:08:04.639000","2025-08-08T02:08:04.639000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"David Chen","Contractor","Statistical Programmer","","40","[""SAS"",""R"",""ADaM"",""TLF Generation""]","","","Clinical Data Science & Information Management (CDS/IM)","100","68955c04682413d5bb6a7ef1","2025-08-08T02:08:04.639000","2025-08-08T02:08:04.639000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Isabella Gomez","FTE","Clinical Supply Chain Manager","","40","[""IXRS/IRT"",""Logistics"",""Forecasting""]","","","Global Clinical Supply (GCS)","75","68955c04682413d5bb6a7ef2","2025-08-08T02:08:04.639000","2025-08-08T02:08:04.639000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Marcus Thorne","FTE","FSP Operations Lead","","40","[""Vendor Management"",""Sourcing"",""Resource Planning""]","","","Business & Vendor Strategy Management (BVSM)","60","68955c04682413d5bb6a7ef3","2025-08-08T02:08:04.639000","2025-08-08T02:08:04.639000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Chloe Sterling","FTE","Recruitment Strategy Lead","","40","[""Patient Recruitment"",""Digital Health"",""Analytics""]","","","Optimization, Analytics & Recruitment Solutions (OARS)","88","68955c04682413d5bb6a7ef4","2025-08-08T02:08:04.639000","2025-08-08T02:08:04.639000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Ben Carter","FTE","Portfolio Operations Manager","","40","[""Metrics & Reporting"",""Process Improvement"",""Smartsheet""]","","","Business Operations","92","68955c04682413d5bb6a7ef5","2025-08-08T02:08:04.639000","2025-08-08T02:08:04.639000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Dr. Olivia Harris","FTE","Medical Writer","","40","[""CSRs"",""Regulatory Writing"",""Publications""]","","","Pfizer Clinical Research Units & Medical Writing","80","68955c04682413d5bb6a7ef6","2025-08-08T02:08:04.639000","2025-08-08T02:08:04.639000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Jordan Lee","FSP","GCP Quality Auditor","","40","[""Auditing"",""GCP Compliance"",""Inspection Readiness""]","","","Quality","65","68955c04682413d5bb6a7ef7","2025-08-08T02:08:04.639000","2025-08-08T02:08:04.639000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
